Tick,CPU_Task,CPU_Util%,TaskID,Name,State
50,IDLE,96.0784,6,T6,finished
51,T3,96.1538,1,T1,finished
51,T3,96.1538,2,T2,finished
51,T3,96.1538,3,T3,running
51,T3,96.1538,4,T4,finished
51,T3,96.1538,5,T5,finished
51,T3,96.1538,6,T6,finished
52,IDLE,96.2264,1,T1,finished
52,IDLE,96.2264,2,T2,finished
52,IDLE,96.2264,3,T3,finished
52,IDLE,96.2264,4,T4,finished
52,IDLE,96.2264,5,T5,finished
52,IDLE,96.2264,6,T6,finished
54,IDLE,94.5455,1,T1,finished
54,IDLE,94.5455,2,T2,finished
54,IDLE,94.5455,3,T3,finished
54,IDLE,94.5455,4,T4,finished
54,IDLE,94.5455,5,T5,finished
54,IDLE,94.5455,6,T6,finished
56,IDLE,92.9825,1,T1,finished
56,IDLE,92.9825,2,T2,finished
56,IDLE,92.9825,3,T3,finished
56,IDLE,92.9825,4,T4,finished
56,IDLE,92.9825,5,T5,finished
56,IDLE,92.9825,6,T6,finished
60,IDLE,88.5246,1,T1,finished
60,IDLE,88.5246,2,T2,finished
60,IDLE,88.5246,3,T3,ready
60,IDLE,88.5246,4,T4,ready
60,IDLE,88.5246,5,T5,ready
60,IDLE,88.5246,6,T6,ready
61,T4,88.7097,1,T1,finished
61,T4,88.7097,2,T2,finished
61,T4,88.7097,3,T3,ready
61,T4,88.7097,4,T4,running
61,T4,88.7097,5,T5,ready
61,T4,88.7097,6,T6,ready
62,IDLE,88.8889,1,T1,finished
62,IDLE,88.8889,2,T2,finished
62,IDLE,88.8889,3,T3,ready
62,IDLE,88.8889,4,T4,finished
62,IDLE,88.8889,5,T5,ready
62,IDLE,88.8889,6,T6,ready
63,T3,89.0625,1,T1,finished
63,T3,89.0625,2,T2,finished
63,T3,89.0625,3,T3,running
63,T3,89.0625,4,T4,finished
63,T3,89.0625,5,T5,ready
63,T3,89.0625,6,T6,ready
64,IDLE,89.2308,1,T1,finished
64,IDLE,89.2308,2,T2,ready
64,IDLE,89.2308,3,T3,finished
64,IDLE,89.2308,4,T4,finished
64,IDLE,89.2308,5,T5,ready
64,IDLE,89.2308,6,T6,ready
65,IDLE,89.3939,1,T1,finished
65,IDLE,89.3939,2,T2,finished
65,IDLE,89.3939,3,T3,finished
65,IDLE,89.3939,4,T4,finished
65,IDLE,89.3939,5,T5,ready
65,IDLE,89.3939,6,T6,ready
66,T6,89.5522,1,T1,ready
66,T6,89.5522,2,T2,finished
66,T6,89.5522,3,T3,finished
66,T6,89.5522,4,T4,finished
66,T6,89.5522,5,T5,ready
66,T6,89.5522,6,T6,running
68,IDLE,89.8551,1,T1,ready
68,IDLE,89.8551,2,T2,finished
68,IDLE,89.8551,3,T3,finished
68,IDLE,89.8551,4,T4,finished
68,IDLE,89.8551,5,T5,ready
68,IDLE,89.8551,6,T6,finished
69,IDLE,90,1,T1,finished
69,IDLE,90,2,T2,finished
69,IDLE,90,3,T3,finished
69,IDLE,90,4,T4,finished
69,IDLE,90,5,T5,ready
69,IDLE,90,6,T6,finished
70,T5,90.1408,1,T1,finished
70,T5,90.1408,2,T2,finished
70,T5,90.1408,3,T3,ready
70,T5,90.1408,4,T4,finished
70,T5,90.1408,5,T5,running
70,T5,90.1408,6,T6,finished
72,IDLE,90.411,1,T1,ready
72,IDLE,90.411,2,T2,ready
72,IDLE,90.411,3,T3,ready
72,IDLE,90.411,4,T4,finished
72,IDLE,90.411,5,T5,finished
72,IDLE,90.411,6,T6,finished
73,IDLE,90.5405,1,T1,ready
73,IDLE,90.5405,2,T2,finished
73,IDLE,90.5405,3,T3,ready
73,IDLE,90.5405,4,T4,finished
73,IDLE,90.5405,5,T5,finished
73,IDLE,90.5405,6,T6,finished
74,IDLE,90.6667,1,T1,finished
74,IDLE,90.6667,2,T2,finished
74,IDLE,90.6667,3,T3,ready
74,IDLE,90.6667,4,T4,finished
74,IDLE,90.6667,5,T5,finished
74,IDLE,90.6667,6,T6,finished
75,T3,90.7895,1,T1,finished
75,T3,90.7895,2,T2,finished
75,T3,90.7895,3,T3,running
75,T3,90.7895,4,T4,ready
75,T3,90.7895,5,T5,finished
75,T3,90.7895,6,T6,finished
76,IDLE,90.9091,1,T1,finished
76,IDLE,90.9091,2,T2,finished
76,IDLE,90.9091,3,T3,finished
76,IDLE,90.9091,4,T4,ready
76,IDLE,90.9091,5,T5,finished
76,IDLE,90.9091,6,T6,finished
77,T4,91.0256,1,T1,finished
77,T4,91.0256,2,T2,finished
77,T4,91.0256,3,T3,finished
77,T4,91.0256,4,T4,running
77,T4,91.0256,5,T5,finished
77,T4,91.0256,6,T6,finished
78,IDLE,91.1392,1,T1,ready
78,IDLE,91.1392,2,T2,finished
78,IDLE,91.1392,3,T3,finished
78,IDLE,91.1392,4,T4,finished
78,IDLE,91.1392,5,T5,finished
78,IDLE,91.1392,6,T6,finished
79,IDLE,91.25,1,T1,finished
79,IDLE,91.25,2,T2,finished
79,IDLE,91.25,3,T3,finished
79,IDLE,91.25,4,T4,finished
79,IDLE,91.25,5,T5,finished
79,IDLE,91.25,6,T6,finished
80,IDLE,91.358,1,T1,finished
80,IDLE,91.358,2,T2,finished
80,IDLE,91.358,3,T3,ready
80,IDLE,91.358,4,T4,finished
80,IDLE,91.358,5,T5,ready
80,IDLE,91.358,6,T6,finished
81,T3,91.4634,1,T1,finished
81,T3,91.4634,2,T2,finished
81,T3,91.4634,3,T3,running
81,T3,91.4634,4,T4,finished
81,T3,91.4634,5,T5,ready
81,T3,91.4634,6,T6,finished
82,IDLE,91.5663,1,T1,finished
82,IDLE,91.5663,2,T2,finished
82,IDLE,91.5663,3,T3,finished
82,IDLE,91.5663,4,T4,finished
82,IDLE,91.5663,5,T5,ready
82,IDLE,91.5663,6,T6,finished
83,T5,91.6667,1,T1,finished
83,T5,91.6667,2,T2,finished
83,T5,91.6667,3,T3,finished
83,T5,91.6667,4,T4,finished
83,T5,91.6667,5,T5,running
83,T5,91.6667,6,T6,finished
84,IDLE,91.7647,1,T1,finished
84,IDLE,91.7647,2,T2,finished
84,IDLE,91.7647,3,T3,finished
84,IDLE,91.7647,4,T4,finished
84,IDLE,91.7647,5,T5,ready
84,IDLE,91.7647,6,T6,finished
85,T5,91.8605,1,T1,finished
85,T5,91.8605,2,T2,finished
85,T5,91.8605,3,T3,finished
85,T5,91.8605,4,T4,finished
85,T5,91.8605,5,T5,running
85,T5,91.8605,6,T6,finished
86,IDLE,91.954,1,T1,finished
86,IDLE,91.954,2,T2,finished
86,IDLE,91.954,3,T3,finished
86,IDLE,91.954,4,T4,finished
86,IDLE,91.954,5,T5,finished
86,IDLE,91.954,6,T6,finished
88,IDLE,91.0112,1,T1,finished
88,IDLE,91.0112,2,T2,finished
88,IDLE,91.0112,3,T3,finished
88,IDLE,91.0112,4,T4,finished
88,IDLE,91.0112,5,T5,finished
88,IDLE,91.0112,6,T6,finished
90,IDLE,90.1099,1,T1,finished
90,IDLE,90.1099,2,T2,finished
90,IDLE,90.1099,3,T3,ready
90,IDLE,90.1099,4,T4,ready
90,IDLE,90.1099,5,T5,finished
90,IDLE,90.1099,6,T6,ready
91,T4,90.2174,1,T1,finished
91,T4,90.2174,2,T2,finished
91,T4,90.2174,3,T3,ready
91,T4,90.2174,4,T4,running
